  260,20190801,  228,   26,   32,   40,    8,   20,   20,   80,   10,  183,  153,    3,  226,   15,  137,   24,   54,   35, 1392,    9,   32,   23,   11,10158,10163,   21,10154,    4,   50,   24,   81,   17,    6,   79,   92,   24,   64,   17,   25
  260,20190802,  289,   15,   35,   50,   10,   10,   24,  120,   10,  183,  144,   24,  214,   13,  129,   24,   39,   25, 1145,   20,   83,   20,   11,10147,10174,   23,10122,   12,   50,    7,   75,   16,    6,   85,   94,   24,   71,   17,   20
  260,20190803,  339,   18,   20,   40,   15,    0,   21,   70,   15,  176,  124,   24,  214,   14,   97,   24,   19,   12, 1227,    0,    0,    0,    1,10183,10192,   12,10173,    2,    9,   23,   82,   11,    7,   80,   98,   23,   60,   10,   21
  260,20190804,  129,    9,   14,   30,   24,    0,    3,   80,   24,  191,  109,    4,  250,   15,   83,    6,   81,   53, 2197,    0,    0,    0,    1,10153,10178,    1,10114,   24,    4,    3,   82,   16,    6,   75,   99,    3,   51,   17,   39
  260,20190805,  236,   22,   29,   50,   10,   10,    2,  110,   12,  207,  172,   23,  244,   15,  148,   24,   63,   41, 1882,    0,   -1,   -1,    1,10102,10112,    1,10096,    5,   61,    8,   82,   13,    7,   72,   92,    4,   51,   12,   35
  260,20190806,  225,   31,   34,   50,    8,    0,   21,   90,    8,  191,  156,   21,  236,   15,  131,   24,   65,   43, 1691,    0,    0,    0,    1,10090,10103,    8,10072,   24,   65,   21,   83,   12,    7,   70,   93,   22,   51,   14,   30
  260,20190807,  231,   40,   41,   60,   13,   30,    1,  130,   13,  191,  162,    5,  230,   16,  155,    6,  101,   66, 1995,    9,   35,   19,   10,10070,10086,   23,10060,    3,   57,    9,   83,   18,    4,   69,   83,    5,   47,   16,   36
  260,20190808,  241,   27,   33,   50,   12,   10,   20,  100,    9,  185,  131,   24,  236,   15,  107,   24,   89,   59, 1892,    2,    3,    3,    9,10108,10120,   17,10085,    1,   63,    5,   83,   11,    5,   71,   92,   23,   46,   16,   34
  260,20190809,  150,   31,   36,   50,   23,   20,    1,   90,   19,  199,  133,    1,  242,   17,  106,    6,   17,   11,  635,   33,   72,   29,   13,10063,10109,    1,10036,   18,   56,   11,   75,    2,    8,   82,   94,   13,   73,    4,   12
  260,20190810,  221,   72,   73,  100,   17,   40,    2,  180,    9,  202,  170,   24,  237,   16,  159,   24,   95,   63, 1712,    1,    2,    2,    9,10085,10128,   24,10045,    1,   62,    9,   81,    7,    3,   63,   83,    2,   43,   16,   31
  260,20190811,  213,   45,   45,   70,   10,   20,   20,  130,    9,  182,  151,    4,  216,   12,  134,   24,   63,   42, 1600,    0,    0,    0,    1,10133,10139,   10,10125,   16,   69,    5,   83,   17,    5,   66,   78,    4,   51,   12,   28
  260,20190812,  222,   23,   30,   50,    8,   10,   16,  110,   11,  160,  130,   24,  217,   13,  126,    6,   69,   46, 1489,   47,  143,   62,   22,10140,10149,   22,10132,    2,   50,   24,   81,   11,    5,   82,   97,   21,   52,   12,   25
  260,20190813,  242,   24,   27,   50,   12,   10,    1,  100,   11,  146,  103,    5,  184,   16,   83,    6,   78,   53, 1597,   47,   93,   39,    3,10167,10181,   21,10149,    1,   58,    2,   83,   11,    6,   79,   96,    4,   58,   16,   26
  260,20190814,  192,   34,   36,   50,   11,   20,    5,  100,   14,  164,  109,    5,  211,   14,   87,    6,   61,   41, 1741,   50,   59,   16,   22,10151,10177,    5,10094,   24,   56,   21,   83,    3,    7,   75,   94,   22,   53,   15,   30
  260,20190815,  241,   34,   40,   60,   12,   20,   20,  130,   17,  172,  122,   24,  208,   11,   89,   24,   37,   25, 1254,   24,   37,   12,    9,10105,10159,   23,10069,    4,   57,    5,   80,   12,    7,   83,   96,   24,   66,   12,   22
  260,20190816,  191,   30,   31,   50,   11,   10,    3,   90,   12,  174,  101,    4,  215,   14,   73,    6,   51,   35, 1561,   17,    6,    4,   23,10136,10165,    5,10078,   24,   27,    3,   83,   17,    8,   76,   97,    3,   60,   14,   27
  260,20190817,  205,   34,   35,   50,    5,   20,   18,  100,    4,  174,  156,   21,  192,   12,  138,   24,    8,    5,  485,   43,  130,   68,   15,10065,10072,    1,10058,    6,   41,   15,   75,    1,    8,   88,   93,    5,   79,    4,    8
  260,20190818,  214,   30,   33,   40,   13,   20,    1,   90,   18,  168,  147,   24,  199,   17,  137,   24,   31,   21,  870,    4,    2,    1,    5,10065,10103,   24,10043,    8,   61,    5,   80,   17,    6,   81,   92,    5,   65,   17,   15
